tic,Tmag,Teff,rad,mass,d,fname,url
230952145,12.696,3286.0,0.31472,0.29348,45.2949,tess2026137223500-s0104-0000000230952145-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000230952145-0306-s_lc.fits
61732255,13.1287,3300.0,0.314967,0.293764,54.5593,tess2026137223500-s0104-0000000061732255-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000061732255-0306-s_lc.fits
466201150,13.2608,3083.0,0.316211,0.295195,52.5501,tess2026137223500-s0104-0000000466201150-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000466201150-0306-s_lc.fits
376669899,12.6744,3401.0,0.316489,0.295514,48.5336,tess2026137223500-s0104-0000000376669899-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000376669899-0306-s_lc.fits
38806360,12.7295,3409.0,0.316535,0.295567,48.8338,tess2026137223500-s0104-0000000038806360-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000038806360-0306-s_lc.fits
316832344,12.2814,3397.0,0.316707,0.295765,39.5012,tess2026137223500-s0104-0000000316832344-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000316832344-0306-s_lc.fits
344369070,12.6561,3362.0,0.316789,0.295859,45.8299,tess2026137223500-s0104-0000000344369070-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000344369070-0306-s_lc.fits
262531321,11.5677,3250.0,0.317125,0.296246,26.225,tess2026137223500-s0104-0000000262531321-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000262531321-0306-s_lc.fits
119092252,13.5403,3264.0,0.317133,0.296255,64.8828,tess2026137223500-s0104-0000000119092252-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000119092252-0306-s_lc.fits
319766043,12.5082,3429.0,0.317458,0.296629,44.7998,tess2026137223500-s0104-0000000319766043-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000319766043-0306-s_lc.fits
140431317,12.9094,3467.0,0.317803,0.297027,57.4987,tess2026137223500-s0104-0000000140431317-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000140431317-0306-s_lc.fits
79172371,12.6403,3321.0,0.318118,0.297389,46.9882,tess2026137223500-s0104-0000000079172371-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000079172371-0306-s_lc.fits
238831201,12.9742,2965.0,0.318299,0.297598,43.8019,tess2026137223500-s0104-0000000238831201-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000238831201-0306-s_lc.fits
155991569,12.9269,3308.0,0.318463,0.297786,50.3463,tess2026137223500-s0104-0000000155991569-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000155991569-0306-s_lc.fits
118433984,13.2067,3383.0,0.31864,0.29799,61.1316,tess2026137223500-s0104-0000000118433984-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000118433984-0306-s_lc.fits
234288627,10.2681,3386.0,0.318672,0.298027,15.8387,tess2026137223500-s0104-0000000234288627-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000234288627-0306-s_lc.fits
355367645,12.7486,3440.0,0.318896,0.298285,50.3148,tess2026137223500-s0104-0000000355367645-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000355367645-0306-s_lc.fits
87329149,12.9476,3387.0,0.319176,0.298607,53.1331,tess2026137223500-s0104-0000000087329149-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000087329149-0306-s_lc.fits
115276426,12.152,3324.0,0.319655,0.299159,36.155,tess2026137223500-s0104-0000000115276426-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000115276426-0306-s_lc.fits
316878455,12.7416,3459.0,0.319962,0.299513,50.8491,tess2026137223500-s0104-0000000316878455-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000316878455-0306-s_lc.fits
41862041,12.5475,3124.0,0.320135,0.299712,39.8815,tess2026137223500-s0104-0000000041862041-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000041862041-0306-s_lc.fits
123368775,11.6556,3350.0,0.320168,0.299749,29.2838,tess2026137223500-s0104-0000000123368775-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000123368775-0306-s_lc.fits
312268273,12.1822,3326.0,0.320868,0.300557,36.5762,tess2026137223500-s0104-0000000312268273-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000312268273-0306-s_lc.fits
425937691,13.1772,2877.0,0.322573,0.302522,,tess2026137223500-s0104-0000000425937691-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000425937691-0306-s_lc.fits
